,Name,Name_Chinese,Region,Language,States,Specific,Owner,Owner_Chinese,Parent,Parent_Chinese,Twitter,Twitter_url,Twitter_fol,Facebook,Facebook_url,Facebook_fol,Instagram,Instagram_url,Instagram_fol,Threads,Threads_url,Threads_fol,Youtube,Youtube_url,Youtube_fol,Tiktok,Tiktok_url,Tiktok_fol,Max_media_fol,Max_media,All_media_fol
14,Lei Kezhong,,Lesotho,English,Africa,African Union,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbassadorLei,https://twitter.com/AmbassadorLei,1470,,,0,,,0,,,0,,,0,,,0,1470,Twitter,1470
15,Chang Hua,,Iran,Persian,Asia,Middle East,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChangHua,https://twitter.com/AmbChangHua,26400,,,0,,,0,,,0,,,0,,,0,26400,Twitter,26400
16,Chen Bo,,Serbia,Serbian,Europe,Non-EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChenBo,https://twitter.com/AmbChenBo,12900,,,0,,,0,,,0,,,0,,,0,12900,Twitter,12900
17,Chen Weiqing,,Saudi Arabia,Arabic,Asia,Middle East,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChenWeiqing,https://twitter.com/AmbChenWeiqing,83700,,,0,,,0,,,0,,,0,,,0,83700,Twitter,83700
18,Chinese Embassy in Burundi,中国驻布隆迪大使馆,Burundi,French,Africa,African Union,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChineBurundi,https://twitter.com/AmbChineBurundi,4651,,,0,,,0,,,0,ambassadedechineauburundi9155,https://www.youtube.com/@ambassadedechineauburundi9155,71,,,0,4651,Twitter,4722
19,Chinese Embassy in Cameroon,,Cameroon,French,Africa,African Union,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbChineCmr,https://twitter.com/AmbChineCmr,3147,,,0,,,0,,,0,,,0,,,0,3147,Twitter,3147
20,Chinese Embassy in Dem. Rep. of Congo (Kinshasa),中国驻刚果（金）大使馆,Dem. Rep. of Congo,French,Africa,African Union,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbCHINEenRDC,https://twitter.com/AmbCHINEenRDC,17400,profile.php?id=100091791662713,https://www.facebook.com/profile.php?id=100091791662713,132,,,0,,,0,ambassaderdcchine5932,https://www.youtube.com/@ambassaderdcchine5932,454,,,0,17400,Twitter,17986
21,Chinese Embassy in Chad,中华人民共和国驻乍得共和国大使馆,Chad,French,Africa,African Union,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,ambchinetchad,https://twitter.com/ambchinetchad,5478,,,0,,,0,,,0,,,0,,,0,5478,Twitter,5478
22,Chinese Embassy in Italy,中国驻意大利使馆,Italy,Italian,Europe,EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbCina,https://twitter.com/AmbCina,48800,chineseembassyitaly,https://www.facebook.com/chineseembassyitaly,17700,ambcina,https://www.instagram.com/ambcina,2175,,,0,,,0,ambcina,https://www.tiktok.com/@ambcina,7989,48800,Twitter,76664
23,Cui Tiankai,,USA,English,Americas,Anglosphere,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbCuiTiankai,https://twitter.com/AmbCuiTiankai,137100,,,0,,,0,,,0,,,0,,,0,137100,Twitter,137100
24,Dong Xiaojun,,Bulgaria,English,Europe,EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbDongXiaojun,https://twitter.com/AmbDongXiaojun,8993,,,0,,,0,,,0,,,0,,,0,8993,Twitter,8993
25,Fang Qiu,,Trinidad and Tobago,English,Americas,Caribbean,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbFangQiu,https://twitter.com/AmbFangQiu,1809,fang.qiu.9847,https://www.facebook.com/fang.qiu.9847/,4500,,,0,,,0,,,0,,,0,4500,Facebook,6309
26,Jia Guide,贾桂德,Italy,Italian,Europe,EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbJiaGuide,https://twitter.com/AmbJiaGuide,6878,,,0,,,0,,,0,,,0,,,0,6878,Twitter,6878
27,Kong Xuanyou,孔鉉佑,Japan,Japanese,Asia,East Asia,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbKongXuanyou,https://twitter.com/AmbKongXuanyou,3599,,,0,,,0,,,0,,,0,,,0,3599,Twitter,3599
28,Liao Liqiang,廖力强,Egypt,Arabic,Africa,African Union/MENA,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbLiaoLiqiang,https://twitter.com/AmbLiaoLiqiang,16500,AmbLiaoliqiang,https://www.facebook.com/AmbLiaoliqiang,6200,,,0,,,0,,,0,,,0,16500,Twitter,22700
29,Liu Guangyuan,,Poland,Polish,Europe,EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbLiuGuangYuan,https://twitter.com/AmbLiuGuangYuan,5596,,,0,,,0,,,0,,,0,,,0,5596,Twitter,5596
30,Liu Quan,,Suriname,English,Americas,Latin America,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbLiuQuan,https://twitter.com/AmbLiuQuan,13700,,,0,,,0,,,0,,,0,,,0,13700,Twitter,13700
31,Liu Xiaoming,刘晓明,South Korea,English,Asia,East Asia,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbLiuXiaoMing,https://twitter.com/AmbLiuXiaoMing,329400,,,0,,,0,,,0,,,0,,,0,329400,Twitter,329400
32,Nong Rong,,Pakistan,English,Asia,South Asia,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbNong,https://twitter.com/AmbNong,61200,,,0,,,0,,,0,,,0,,,0,61200,Twitter,61200
33,Qin Gang,秦刚,USA,English,Americas,Anglosphere,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbQinGang,https://twitter.com/AmbQinGang,288500,,,0,,,0,,,0,,,0,,,0,288500,Twitter,288500
34,Wu Jianghao,吴江浩,Japan,Japanese,Asia,East Asia,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbWuJianghao,https://twitter.com/AmbWuJianghao,4587,,,0,,,0,,,0,,,0,,,0,4587,Twitter,4587
35,Xie Feng,谢锋,USA,English,Americas,Anglosphere,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbXieFeng,https://twitter.com/AmbXieFeng,19400,,,0,,,0,,,0,,,0,,,0,19400,Twitter,19400
36,Zheng Zeguang,,UK,English,Europe,Non-EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbZhengZeguang,https://twitter.com/AmbZhengZeguang,8481,,,0,,,0,,,0,,,0,,,0,8481,Twitter,8481
37,Zhou Jian,,Qatar,English,Asia,Middle East,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbZhouJian,https://twitter.com/AmbZhouJian,6682,,,0,,,0,,,0,,,0,,,0,6682,Twitter,6682
38,Media Challengers,,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,aMEDIAchallenge,https://twitter.com/amediachallenge,66,themediachallengers,https://www.facebook.com/themediachallengers/,93000,,,0,,,0,,,0,,,0,93000,Facebook,93066
39,Andy Boreham,安柏然,Shanghai,English,Asia,Greater China,Shanghai United Media Group (SUMG),上海报业集团,Shanghai Municipal Committee,中共上海市委,AndyBxxx,https://twitter.com/AndyBxxx,85400,reportsonchina,https://www.facebook.com/reportsonchina/,21000,,,0,,,0,ReportsOnChina,https://www.youtube.com/ReportsOnChina,57000,andysshanghailife,https://www.tiktok.com/@andysshanghailife,2733,85400,Twitter,166133
40,Ge Anna,,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,AnnaGE_,https://twitter.com/AnnaGE_,3298,,,0,,,0,,,0,,,0,,,0,3298,Twitter,3298
41,Wang Zeyu (Anosi Wang),,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,anosiwang,https://twitter.com/anosiwang,208,,,0,anosiwang,https://www.instagram.com/anosiwang/,247,,,0,,,0,,,0,247,Instagram,455
42,We Are China,,Anglosphere,English,Cross States,Language and Cultural Communities,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,are_china,https://twitter.com/are_china,104,WeAreChinaVideos,https://www.facebook.com/WeAreChinaVideos/,25000000,,,0,,,0,,,0,,,0,25000000,Facebook,25000104
43,CGTN Assignment Asia,,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,assignasia,https://twitter.com/assignasia,740,cgtnassignmentasia,https://www.facebook.com/cgtnassignmentasia,102000,,,0,,,0,,,0,,,0,102000,Facebook,102740
44,Ma Ye (Ayisha Elseenya / عائشة الصينية),马烨,MENA,Arabic,Cross States,Other,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,ayishaelseenya,https://twitter.com/ayishaelseenya,95,AyishaElseenyOfficial,https://www.facebook.com/AyishaElseenyOfficial,2338731,ayisha_elseeny13,https://www.instagram.com/ayisha_elseeny13,41100,,,0,AyishaElseenya,https://www.youtube.com/channel/UC-Miuj0gMmQS6t9oQ3iUsCw,866000,ayishaelseenya,https://www.tiktok.com/@ayishaelseenya,31200,2338731,Facebook,3277126
45,Diba,帝吧,China,Chinese,Asia,Greater China,Diba,帝吧,Diba,帝吧,back_XiaoDiDi,https://twitter.com/back_XiaoDiDi,29300,China.Di8,https://www.facebook.com/China.Di8/,41000,,,0,,,0,,,0,,,0,41000,Facebook,70300
46,Discover Jiangxi,,Jiangxi,English,Asia,Greater China,Jiangxi Provincial Department of Culture and Tourism,江西省文化和旅游厅,Jiangxi Provincial People's Government,江西省人民政府,BeautyJiangxi,https://twitter.com/BeautyJiangxi,88000,DiscoverJiangxi2018,https://www.facebook.com/DiscoverJiangxi2018,1200000,,,0,,,0,,,0,,,0,1200000,Facebook,1288000
47,Beijing Channel,,Anglosphere,English,Cross States,Language and Cultural Communities,Xinhua News Agency,新华社,State Council,中华人民共和国国务院,BeijingChannel,https://twitter.com/Beijingchannel,1347,,,0,,,0,,,0,,,0,,,0,1347,Twitter,1347
48,Discover Beijing,,Anglosphere,English,Cross States,Language and Cultural Communities,unknown,,unknown,,BeijingDiscover,https://twitter.com/BeijingDiscover,22900,DiscoverBeijing,https://www.facebook.com/DiscoverBeijing/,4000000,idiscoverbeijing,https://www.instagram.com/idiscoverbeijing,7137,idiscoverbeijing,https://www.threads.net/@idiscoverbeijing,88,,,0,discoverbeijing,https://www.tiktok.com/@discoverbeijing,9009,4000000,Facebook,4039134
49,Beijing Review,北京周報,Beijing,English,Asia,Greater China,China International Communications Group (CICG),中国外文出版发行事业局,Central Publicity Department,中共中央宣传部,BeijingReview,https://twitter.com/BeijingReview,94300,BJReview,https://www.facebook.com/BJReview,94300,beijingreview,https://www.instagram.com/beijingreview/,3087,,,0,BeijingReview,https://www.youtube.com/c/BeijingReview,1790,,,0,94300,Twitter,193477
50,Belt and Road News Network,,Anglosphere,English,Cross States,Language and Cultural Communities,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,beltroadnews,https://twitter.com/beltroadnews,3062,TheBeltandRoadNewsNetwork,https://www.facebook.com/TheBeltandRoadNewsNetwork/,4900000,,,0,,,0,,,0,,,0,4900000,Facebook,4903062
51,BJD Review,,China,Chinese,Asia,Greater China,Beijing Daily Newspaper Group ,北京日报报业集团(北京日报社),Beijing Municipal Committee,中共北京市委,bjd_review,https://twitter.com/bjd_review,868,,,0,,,0,,,0,,,0,,,0,868,Twitter,868
52,Zheng Chenlei (Blair Zheng),,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,BlairZheng1,https://twitter.com/BlairZheng1,7,,,0,,,0,,,0,,,0,,,0,7,Twitter,7
53,Tang Bo,,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,Bossebosse84,https://twitter.com/Bossebosse84,215,,,0,,,0,,,0,,,0,,,0,215,Twitter,215
54,Wang Cong,,Anglosphere,English,Cross States,Language and Cultural Communities,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,bycongwang,https://twitter.com/bycongwang,586,,,0,,,0,,,0,,,0,,,0,586,Twitter,586
55,Cao Li,曹利,Anglosphere,English,Cross States,Language and Cultural Communities,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Cao_Li_CHN,https://twitter.com/Cao_Li_CHN,16700,,,0,,,0,,,0,,,0,,,0,16700,Twitter,16700
56,Cao Yi,,MENA,Arabic,Cross States,Other,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CaoYi_MFA,https://twitter.com/CaoYi_MFA,132900,,,0,,,0,,,0,,,0,,,0,132900,Twitter,132900
57,Chinese Embassy in Pakistan,中国驻巴基斯坦使馆,Pakistan,English,Asia,South Asia,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CathayPak,https://twitter.com/CathayPak,161000,profile.php?id=100071253341591,https://www.facebook.com/profile.php?id=100071253341591,6800,,,0,,,0,,,0,,,0,161000,Twitter,167800
58,Chinese Consulate General in Belfast,中国驻贝尔法斯特总领事馆,UK,English,Europe,Non-EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CCGBelfast,https://twitter.com/CCGBelfast,7342,,,0,ccginbelfast,https://www.instagram.com/ccginbelfast/,50,,,0,,,0,ccgbelfast,https://www.tiktok.com/@ccgbelfast,16,7342,Twitter,7408
59,Chinese Consulate General in Jeddah,,Saudi Arabia,Arabic,Asia,Middle East,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CCGJeddah,https://twitter.com/CCGJeddah,3268,,,0,,,0,,,0,,,0,,,0,3268,Twitter,3268
60,CCTV+,,China,Chinese,Asia,Greater China,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CCTV_Plus,https://twitter.com/CCTV_Plus,35300,NewsContent.CCTVPLUS/,https://www.facebook.com/NewsContent.CCTVPLUS/,918000,cctv_video_news_agency,https://www.instagram.com/cctv_video_news_agency/,2190,,,0,CCTVVideoNewsAgency,https://www.youtube.com/@CCTVVideoNewsAgency,518000,cctv_plus,https://www.tiktok.com/@cctv_plus,104,918000,Facebook,1473594
61,CCTV News,央视新闻,China,Chinese,Asia,Greater China,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cctvxinwen,https://twitter.com/cctvxinwen,1340,cctvxinwen,https://www.facebook.com/cctvxinwen/,2400,,,0,,,0,,,0,MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,https://www.tiktok.com/@MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,663,2400,Facebook,4403
62,Visual China,,Anglosphere,English,Cross States,Language and Cultural Communities,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CD_visual,https://twitter.com/CD_visual,998,,,0,,,0,,,0,,,0,,,0,998,Twitter,998
63,China Daily Africa,,African Union,English,Africa,African Union General,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDAfricaNews,https://twitter.com/CDAfricaNews,3385,,,0,,,0,,,0,,,0,,,0,3385,Twitter,3385
64,China Watch,,Anglosphere,English,Cross States,Language and Cultural Communities,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDchinawatch,https://twitter.com/CDchinawatch,563,,,0,,,0,,,0,,,0,,,0,563,Twitter,563
65,China Daily Hong Kong,中国日报香港版,Hong Kong,English,Asia,Greater China,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDHKedition,https://twitter.com/CDHKedition,3717,chinadailyhkedition,https://www.facebook.com/chinadailyhkedition/,1700000,,,0,,,0,,,0,,,0,1700000,Facebook,1703717
66,CD Opinion,,Anglosphere,English,Cross States,Language and Cultural Communities,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CdOpinion,https://twitter.com/CdOpinion,707,,,0,,,0,,,0,,,0,,,0,707,Twitter,707
67,China Daily Sci-tech,,Anglosphere,English,Cross States,Language and Cultural Communities,China Daily Press,中国日报社,Central Publicity Department,中共中央宣传部,CDscitech,https://twitter.com/CDscitech,164,ChinaDailySciTech,https://www.facebook.com/ChinaDailySciTech/,8700000,,,0,,,0,,,0,,,0,8700000,Facebook,8700164
68,Cen Ziyuan (Jasmine Cen),,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CenJasmine,https://twitter.com/CenJasmine,262,jasminecenz,https://www.facebook.com/jasminecenz,148,,,0,,,0,,,0,,,0,262,Twitter,410
69,Chinese Consulate General in Zurich,,Switzerland,German,Europe,Non-EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGChinaInZurich,https://twitter.com/CGChinaInZurich,8972,,,0,,,0,,,0,,,0,chinakonsulzurich,https://www.tiktok.com/@chinakonsulzurich,40900,40900,Tiktok,49872
70,Huang Ping,黄屏,USA,English,Americas,Anglosphere,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGHuangPingNY,https://twitter.com/CGHuangPingNY,7556,,,0,,,0,,,0,,,0,,,0,7556,Twitter,7556
71,Zhang Meifang,,UK,English,Europe,Non-EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGMeifangZhang,https://twitter.com/CGMeifangZhang,160000,,,0,,,0,,,0,,,0,cgmeifangzhang,https://www.tiktok.com/@cgmeifangzhang,1071,160000,Twitter,161071
72,China Consulate in Dubai,,UAE,English,Asia,Middle East,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,CGPRCinDubai,https://twitter.com/CGPRCinDubai,3993,,,0,,,0,,,0,,,0,,,0,3993,Twitter,3993
73,CGTN Culture,,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTN_Culture,https://twitter.com/CGTN_Culture,1537,,,0,,,0,cgtnculture,https://www.threads.net/@cgtnculture,7,,,0,,,0,1537,Twitter,1544
74,CGTN Dialogue,,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTN_Dialogue,https://twitter.com/CGTN_Dialogue,1011,,,0,,,0,,,0,,,0,,,0,1011,Twitter,1011
75,CGTN Inheritors,,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtn_inheritors,https://twitter.com/cgtn_inheritors,0,cgtn.inheritors,https://www.facebook.com/cgtn.inheritors/,204000,cgtn_inheritors,https://www.instagram.com/cgtn_inheritors/,586,,,0,,,0,,,0,204000,Facebook,204586
76,CGTN Style,,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTN_Style,https://twitter.com/CGTN_Style,56,CGTN-Style-117178546331993,https://www.facebook.com/CGTN-Style-117178546331993/,1165,,,0,,,0,,,0,,,0,1165,Facebook,1221
77,CGTN Africa,,African Union,English,Africa,African Union General,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnafrica,https://twitter.com/cgtnafrica,149100,cgtnafrica,https://www.facebook.com/cgtnafrica,4587965,cgtn_africa,https://www.instagram.com/cgtn_africa/,41500,,,0,CGTNAfrica,https://www.youtube.com/@cgtnafrica,824000,,,0,4587965,Facebook,5602565
78,CGTN America,,USA,English,Americas,Anglosphere,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnamerica,https://twitter.com/cgtnamerica,288200,cgtnamerica,https://www.facebook.com/cgtnamerica,1550082,cgtnamerica,https://www.instagram.com/cgtnamerica/,298000,cgtnamerica,https://www.threads.net/@cgtnamerica,12300,cgtnamerica,https://www.youtube.com/@cgtnamerica,685000,,,0,1550082,Facebook,2833582
79,CGTN Arabic,,MENA,Arabic,Cross States,Other,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,cgtnarabic,https://twitter.com/cgtnarabic,668300,,,0,cgtnarabic,https://www.instagram.com/cgtnarabic,178000,,,0,CGTNArabic,https://www.youtube.com/@CGTNArabic,491000,cgtnarabic,https://www.tiktok.com/@cgtnarabic,66,668300,Twitter,1337366
80,CGTN Business,,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNBusiness,https://twitter.com/CGTNBusiness,1162,CGTNBusiness,https://www.facebook.com/CGTNBusiness,102253,,,0,,,0,,,0,,,0,102253,Facebook,103415
81,CGTN DC Producers,,USA,English,Americas,Anglosphere,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,CGTNDCproducers,https://twitter.com/CGTNDCproducers,455,CGTNDialogueideasmatter,https://www.facebook.com/CGTNDialogueideasmatter,131000,,,0,,,0,,,0,,,0,131000,Facebook,131455
